wavelength  transmission
299.87094   0
320.2624    0
340.55466   0
354.2842    0.005726534
361.45178   0.022323044
365.93677   0.04856357
370.4225    0.07694657
374.61084   0.108543605
377.3057    0.13585728
380.00195   0.16745593
383.29456   0.19744706
385.99152   0.23118816
388.688     0.2633224
391.383     0.29117173
394.67755   0.32705465
400.65552   0.3559717
407.52466   0.37256852
409.6136    0.37256628
415.57822   0.36131188
421.24283   0.34523726
424.519     0.32595146
429.57913   0.28684586
433.44946   0.25952515
438.80746   0.21881235
442.08044   0.18988542
444.7591    0.16845779
446.84232   0.15131575
451.3065    0.11488888
453.98477   0.09239001
458.1553    0.07042516
462.62357   0.04631752
465.60117   0.026496427
470.66858   0.009351191
475.73938   0.0023827124
483.79578   0
500.20862   0
515.1295    0

