position equalization serial_number
115 1.06045 BAD0628
122 1.27446 HC0846
123 1.09326 BAD0626
124 1.1249 BAD0519
125 1.11307 BAD0606
126 1.13221 BAD0629
127 1.41591 HB9166
132 1.29506 HB9203
133 1.03947 BAD0605
134 1.10517 BAD0518
135 1.11667 BAD0508
136 1.17552 BAD0493
137 1.16505 BAD0591
138 1.45464 HB9181
141 1.42718 HB9196
142 1.11385 BAD0517
143 1.12995 BAD0505
144 1.14363 BAD0492
145 1.05476 BAD0619
146 1.15388 BAD0555
147 1.2139 BAD0516
148 1.86412 HC0875
151 1.39819 HB9169
152 1.39346 HB9195
153 1.1431 BAD0502
154 1.13806 BAD0491
155 1.13191 BAD0760
156 0.783976 BAD0659
157 1.15423 BAD0645
158 1.34265 HB9202
159 1.92036 HB9210
161 1.44523 HB9193
162 1.26806 BAD0632
163 1.12348 BAD0631
164 1.13832 BAD0490
165 1.10158 BAD0495
166 1.10759 BAD0607
167 1.1916 BAD0514
168 1.20767 HB9068
172 1.35409 HB9198
173 1.10485 BAD0520
174 1.16218 BAD1476
175 1.1847 BAD1461
176 1.19385 BAD1477
177 1.18487 BAD1480
178 1.37607 HB9078
182 1.35711 HB9116
187 1.41045 HC0836
215 0.999862 BAD5717
222 1.27868 HC0850
223 1.02092 BAD5715
224 0.998753 BAD5641
225 1.02299 BAD5657
226 0.95446 BDC4222
227 1.34592 HC0859
232 1.30536 HC0851
233 0.96681 BAD5651
234 0.818354 BAD5669
235 0.907304 BAD5642
236 1.02861 BAD5689
237 1.10114 BDC4370
238 0.939373 HB8719
241 1.29185 HC0869
242 0.83528 BDC5503
243 1.01963 BDC6140
244 0.921514 BAD5731
245 0.832879 BDC6141
246 1.01699 BDC6143
247 1.02689 BDC6146
248 1.18135 HB9174
251 1.14272 HB8718
252 1.21639 HC0856
253 0.965716 BDC6149
254 0.967678 BDC6162
255 0.975558 BDC6163
256 1.00216 BDC6166
257 0.999257 BDC6169
258 0.0378822 HC0854
259 0.0291235 HC0879
261 0.867994 HB9182
262 1.09264 BDC6175
